season,week,rank_eliminated,percent_eliminated,different
21,4,Gary Busey,Gary Busey,0
21,6,Paula Deen,Paula Deen,0
21,7,Hayes Grier,Hayes Grier,0
21,8,Andy Grammer,Andy Grammer,0
22,2,Geraldo Rivera,Geraldo Rivera,0
22,3,Mischa Barton,Mischa Barton,0
22,4,Marla Maples,Marla Maples,0
22,6,Doug Flutie,Doug Flutie,0
22,8,Jodie Sweetin,Jodie Sweetin,0
23,2,Jake T. Austin,Jake T. Austin,0
23,3,Rick Perry,Rick Perry,0
23,6,Amber Rose,Amber Rose,0
23,7,Maureen McCormick,Maureen McCormick,0
23,8,Ryan Lochte,Ryan Lochte,0
23,9,Marilu Henner,Marilu Henner,0
23,10,Terra Jole,Terra Jole,0
24,2,Chris Kattan,Chris Kattan,0
24,3,Charo,Charo,0
24,4,Mr. T,Mr. T,0
24,5,Erika Jayne,Erika Jayne,0
24,6,Heather Morris,Heather Morris,0
24,8,Bonner Bolton,Bonner Bolton,0
24,9,Simone Biles,Simone Biles,0
25,4,Derek Fisher,Derek Fisher,0
25,5,Sasha Pieterse,Sasha Pieterse,0
25,6,Nick Lachey,Nick Lachey,0
25,8,Terrell Owens,Terrell Owens,0
25,9,Victoria Arlen,Victoria Arlen,0
27,1,Nikki Glaser,Nikki Glaser,0
27,2,Danelle Umstead,Danelle Umstead,0
27,3,Nancy McKeon,Nancy McKeon,0
27,4,Tinashe,Tinashe,0
27,6,Mary Lou Retton,Mary Lou Retton,0
28,4,Lamar Odom,Lamar Odom,0
28,6,Sailor Brinkley-Cook,Sailor Brinkley-Cook,0
28,7,Karamo Brown,Karamo Brown,0
28,8,Kate Flannery,Kate Flannery,0
28,9,Sean Spicer,Sean Spicer,0
28,10,James Van Der Beek,James Van Der Beek,0
29,2,Charles Oakley,Charles Oakley,0
29,3,Carole Baskin,Carole Baskin,0
29,4,Anne Heche,Anne Heche,0
29,5,Jesse Metcalfe,Jesse Metcalfe,0
29,6,Veron Davis,Veron Davis,0
29,8,Chrishell Stause,Chrishell Stause,0
29,9,AJ McLean,AJ McLean,0
30,2,Martin Kove,Martin Kove,0
30,3,Christine Chiu,Christine Chiu,0
30,5,Melanie C,Melanie C,0
30,6,Kenya Moore,Kenya Moore,0
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",0
31,1,Jason Lewis,Jason Lewis,0
31,2,Teresa Giudice,Teresa Giudice,0
31,3,Cheryl Ladd,Cheryl Ladd,0
31,4,Sam Champion,Sam Champion,0
31,6,Jessie James Decker,Jessie James Decker,0
31,7,Jordin Sparks,Jordin Sparks,0
32,1,Matt Walsh,Matt Walsh,0
32,2,Jamie Lynn Spears,Jamie Lynn Spears,0
32,3,Tyson Beckford,Tyson Beckford,0
32,4,Adrian Peterson,Adrian Peterson,0
32,5,Mira Sorvino,Mira Sorvino,0
32,6,Mauricio Umansky,Mauricio Umansky,0
32,7,Lele Pons,Lele Pons,0
32,8,Barry Williams,Barry Williams,0
32,9,Harry Jowsey,Harry Jowsey,0
33,4,Brooks Nader,Brooks Nader,0
33,5,Phaedra Parks,Phaedra Parks,0
33,6,Jenn Tran,Jenn Tran,0
33,7,Dwight Howard ,Dwight Howard ,0
34,3,Lauren Jauregui,Lauren Jauregui,0
34,4,Hilaria Baldwin,Hilaria Baldwin,0
34,6,Scott Hoying,Scott Hoying,0
34,7,Jen Affleck,Jen Affleck,0
34,8,Danielle Fishel,Danielle Fishel,0
34,9,Andy Richter,Andy Richter,0
34,10,Whitney Leavitt,Whitney Leavitt,0
