season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,judge_total,fan_vote_share
3,1,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,7.333333333333333,0.1
3,1,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,6.333333333333333,0.1
3,1,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,7.0,0.1
3,1,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,8.666666666666666,0.1
3,1,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,8.0,0.1
3,1,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,6.0,0.1
3,1,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,7.333333333333333,0.1
3,1,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,5.0,0.1
3,1,Jerry Springer,Kym Johnson,TV Personality,,England,62,5.333333333333333,0.1
3,1,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,4.0,0.0
3,2,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,7.0,0.1125603864734299
3,2,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,8.0,0.1082125603864734
3,2,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,8.666666666666666,0.1082125603864734
3,2,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,9.666666666666666,0.1082125603864734
3,2,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,7.0,0.1125603864734299
3,2,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,8.0,0.1082125603864734
3,2,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,7.333333333333333,0.0
3,2,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,7.666666666666667,0.1082125603864734
3,2,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,7.0,0.1125603864734299
3,2,Jerry Springer,Kym Johnson,TV Personality,,England,62,6.333333333333333,0.121256038647343
3,3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,7.333333333333333,0.0
3,3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,9.0,0.1225845410628019
3,3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,9.0,0.1225845410628019
3,3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,7.333333333333333,0.1225845410628019
3,3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,7.333333333333333,0.1225845410628019
3,3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,6.333333333333333,0.1370772946859903
3,3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,7.333333333333333,0.1225845410628019
3,3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,8.333333333333334,0.1225845410628019
3,3,Jerry Springer,Kym Johnson,TV Personality,,England,62,7.0,0.127415458937198
3,4,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,8.0,0.0
3,4,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,8.0,0.1385281385281385
3,4,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,9.0,0.1385281385281385
3,4,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,9.666666666666666,0.1385281385281385
3,4,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,8.0,0.1385281385281385
3,4,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,9.333333333333334,0.1385281385281385
3,4,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,6.666666666666667,0.1587301587301587
3,4,Jerry Springer,Kym Johnson,TV Personality,,England,62,7.333333333333333,0.1486291486291486
3,7,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,9.0,0.24275
3,7,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,9.5,0.24275
3,7,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,9.333333333333334,0.24275
3,7,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,9.5,0.24275
3,7,Jerry Springer,Kym Johnson,TV Personality,,England,62,7.666666666666667,0.029
3,8,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,8.833333333333334,0.004
3,8,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,9.0,0.332
3,8,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,9.5,0.332
3,8,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,9.0,0.332
3,9,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,9.833333333333334,0.333
3,9,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,9.833333333333334,0.3334999999999999
3,9,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,9.833333333333334,0.3334999999999999
4,2,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,7.0,0.0983673469387755
4,2,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,7.333333333333333,0.0983673469387755
4,2,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,6.0,0.1106122448979591
4,2,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,9.0,0.0983673469387755
4,2,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,8.666666666666666,0.0983673469387755
4,2,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,6.666666666666667,0.1024489795918367
4,2,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,7.0,0.0
4,2,Heather Mills,Jonathan Roberts,Model,,England,39,8.0,0.0983673469387755
4,2,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,7.0,0.0983673469387755
4,2,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,8.0,0.0983673469387755
4,2,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,7.0,0.0983673469387755
4,3,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,6.666666666666667,0.1126401630988786
4,3,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,8.0,0.1080530071355759
4,3,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,5.333333333333333,0.1309887869520897
4,3,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,7.0,0.1080530071355759
4,3,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,7.666666666666667,0.1080530071355759
4,3,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,7.0,0.0
4,3,Heather Mills,Jonathan Roberts,Model,,England,39,8.0,0.1080530071355759
4,3,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,7.0,0.1080530071355759
4,3,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,8.0,0.1080530071355759
4,3,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,8.0,0.1080530071355759
4,4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,5.333333333333333,0.1243421052631578
4,4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,8.0,0.1243421052631578
4,4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,5.0,0.1296052631578947
4,4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,7.0,0.1243421052631578
4,4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,8.666666666666666,0.1243421052631578
4,4,Heather Mills,Jonathan Roberts,Model,,England,39,7.666666666666667,0.1243421052631578
4,4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,7.0,0.1243421052631578
4,4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,9.333333333333334,0.1243421052631578
4,4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,5.333333333333333,0.0
4,5,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,6.0,0.1397142857142857
4,5,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,8.0,0.1397142857142857
4,5,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4.333333333333333,0.022
4,5,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,9.333333333333334,0.1397142857142857
4,5,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,10.0,0.1397142857142857
4,5,Heather Mills,Jonathan Roberts,Model,,England,39,7.0,0.1397142857142857
4,5,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,5.666666666666667,0.1397142857142857
4,5,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,8.333333333333334,0.1397142857142857
4,6,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,6.333333333333333,0.1843137254901961
4,6,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,8.0,0.1607843137254902
4,6,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,9.333333333333334,0.1607843137254902
4,6,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,9.333333333333334,0.1607843137254902
4,6,Heather Mills,Jonathan Roberts,Model,,England,39,7.666666666666667,0.0
4,6,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,7.0,0.1725490196078431
4,6,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,9.0,0.1607843137254902
4,7,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,7.5,0.0
4,7,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,9.0,0.1954692556634304
4,7,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,9.833333333333334,0.1954692556634304
4,7,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,9.0,0.1954692556634304
4,7,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,6.333333333333333,0.2181229773462783
4,7,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,9.833333333333334,0.1954692556634304
4,8,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,7.833333333333333,0.24125
4,8,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,8.833333333333334,0.24125
4,8,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,9.666666666666666,0.24125
4,8,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,6.333333333333333,0.035
4,8,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,9.166666666666666,0.24125
4,9,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,9.666666666666666,0.118
4,9,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,10.0,0.2925935302390998
4,9,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,9.833333333333334,0.2968129395218002
4,9,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,10.0,0.2925935302390998
5,1,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,7.0,0.0908181818181818
5,1,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,8.0,0.0908181818181818
5,1,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,8.666666666666666,0.0908181818181818
5,1,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,7.0,0.0908181818181818
5,1,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,6.0,0.0908181818181818
5,1,Josie Maran,Alec Mazo,Model,California,United States,29,5.333333333333333,0.001
5,1,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,7.0,0.0908181818181818
5,1,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,8.333333333333334,0.0908181818181818
5,1,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,8.0,0.0908181818181818
5,1,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,6.333333333333333,0.0908181818181818
5,1,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,7.0,0.0908181818181818
5,1,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,7.0,0.0908181818181818
5,2,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,7.0,0.0962184873949579
5,2,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,7.0,0.0962184873949579
5,2,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,8.666666666666666,0.0962184873949579
5,2,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,7.0,0.0962184873949579
5,2,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,7.0,0.0962184873949579
5,2,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,7.0,0.0
5,2,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,9.0,0.0962184873949579
5,2,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,7.666666666666667,0.0962184873949579
5,2,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5.0,0.1214285714285714
5,2,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,8.0,0.0962184873949579
5,2,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,6.0,0.1088235294117647
5,3,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,7.666666666666667,0.1102222222222222
5,3,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,9.0,0.1102222222222222
5,3,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,9.0,0.1102222222222222
5,3,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,8.666666666666666,0.1102222222222222
5,3,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,7.0,0.1102222222222222
5,3,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,8.0,0.1102222222222222
5,3,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,9.0,0.1102222222222222
5,3,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,6.0,0.008
5,3,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,8.666666666666666,0.1102222222222222
5,3,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,6.666666666666667,0.1102222222222222
5,4,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,9.0,0.1244658119658119
5,4,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,8.666666666666666,0.1244658119658119
5,4,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,10.0,0.1244658119658119
5,4,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,9.0,0.1244658119658119
5,4,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,7.666666666666667,0.0
5,4,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,9.0,0.1244658119658119
5,4,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,8.666666666666666,0.1244658119658119
5,4,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,8.666666666666666,0.1244658119658119
5,4,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,7.333333333333333,0.1287393162393162
5,5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,8.666666666666666,0.1428571428571428
5,5,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,8.666666666666666,0.1428571428571428
5,5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,9.333333333333334,0.1428571428571428
5,5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,8.333333333333334,0.1428571428571428
5,5,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,7.666666666666667,0.1428571428571428
5,5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,9.666666666666666,0.1428571428571428
5,5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,7.0,0.1428571428571428
5,5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,7.0,0.0
5,6,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,8.333333333333334,0.162037037037037
5,6,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,7.333333333333333,0.1787037037037037
5,6,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,8.333333333333334,0.0
5,6,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,9.0,0.162037037037037
5,6,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,9.333333333333334,0.162037037037037
5,6,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,10.0,0.162037037037037
5,6,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,7.666666666666667,0.1731481481481481
5,7,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,8.5,0.1994
5,7,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,8.333333333333334,0.003
5,7,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,8.833333333333334,0.1994
5,7,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,8.666666666666666,0.1994
5,7,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,9.0,0.1994
5,7,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,8.666666666666666,0.1994
5,8,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,8.5,0.0
5,8,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,8.333333333333334,0.2509505703422053
5,8,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,9.5,0.247148288973384
5,8,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,9.333333333333334,0.247148288973384
5,8,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,8.166666666666666,0.2547528517110266
5,9,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,9.666666666666666,0.0
5,9,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,10.0,0.3304843304843305
5,9,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,10.0,0.3304843304843305
5,9,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,9.333333333333334,0.339031339031339
6,3,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,8.333333333333334,0.1101364522417154
6,3,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,7.0,0.0
6,3,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,8.666666666666666,0.1101364522417154
6,3,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,7.0,0.1101364522417154
6,3,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,8.0,0.1101364522417154
6,3,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6.333333333333333,0.1189083820662768
6,3,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,7.666666666666667,0.1101364522417154
6,3,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,9.0,0.1101364522417154
6,3,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,7.0,0.1101364522417154
6,3,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,7.0,0.1101364522417154
6,4,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,8.666666666666666,0.123375
6,4,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,7.333333333333333,0.123375
6,4,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,8.0,0.123375
